normalized_file_title_map
file_name,article_name,normalized_title
PDFs_08_Diego/oxford_open_climate_change/kgae005.pdf,"2023 Record marine heat waves: coral reef bleaching 
HotSpot maps reveal global sea surface temperature 
extremes, coral mortality, and ocean circulation changes","2023 Record Marine Heat Waves: Coral Reef Bleaching Hot-spot Maps Reveal Global Sea Surface Temperature Extremes, Coral Mortality, And Ocean Circulation Changes"
PDFs_08_Diego/oxford_open_climate_change/kgac004.pdf,Catalyzing industrial decarbonization: the promissory legitimacy of fossil-free Sweden,Catalyzing Industrial Decarbonization: The Promissory Legitimacy Of Fossil-free Sweden
PDFs_08_Diego/oxford_open_climate_change/kgae009.pdf,"Identifying when thresholds from the Paris Agreement are breached: the minmax average, a novel smoothing approach","Identifying When Thresholds From The Paris Agreement Are Breached: The Minmax Average, A Novel Smoothing Approach"
PDFs_08_Diego/oxford_open_climate_change/kgab004.pdf,The role of negative emissions in meeting China’s 2060 carbon neutrality goal,The Role Of Negative Emissions In Meeting China’s 2060 Carbon Neutrality Goal
PDFs_08_Diego/oxford_open_climate_change/kgad007.pdf,Empirical comparisons between the past 5000 years of European and Eastern Mediterranean history and precipitation as recorded by ice accumulation in the GISP2 (Greenland) ice core,Empirical Comparisons Between The Past 5000 Years Of European And Eastern Mediterranean History And Precipitation As Recorded By Ice Accumulation In The Gisp2 (greenland) Ice Core
PDFs_08_Diego/oxford_open_climate_change/kgad004.pdf,Marine methods for carbon dioxide removal: fundamentals and myth-busting for the wider community,Marine Methods For Carbon Dioxide Removal: Fundamentals And Myth-busting For The Wider Community
PDFs_08_Diego/oxford_open_climate_change/kgab007.pdf,Probabilistic projections of future warming and climate sensitivity trajectories,Probabilistic Projections Of Future Warming And Climate Sensitivity Trajectories
PDFs_08_Diego/oxford_open_climate_change/kgad013.pdf,Time to treat the climate and nature crisis as one indivisible global health emergency†,Time To Treat The Climate And Nature Crisis As One Indivisible Global Health Emergency†
PDFs_08_Diego/oxford_open_climate_change/kgad015.pdf,Practitioner perspectives on climate mobilities in South Florida,Practitioner Perspectives On Climate Mobilities In South Florida
PDFs_08_Diego/oxford_open_climate_change/kgad006.pdf,Emissions Liability Management,Emissions Liability Management
PDFs_08_Diego/oxford_open_climate_change/kgae003.pdf,Embodied emissions policies—design options and political mobilization potential,Embodied Emissions Policies—design Options And Political Mobilization Potential
PDFs_08_Diego/oxford_open_climate_change/kgae011.pdf,What’s Scope 2 good for?,What’s Scope 2 Good For?
PDFs_08_Diego/oxford_open_climate_change/kgae004.pdf,Lost options commitment: how short-term policies affect long-term scope of action,Lost Options Commitment: How Short-term Policies Affect Long-term Scope Of Action
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278224000397-main.pdf,The human health burden of climate change: Non-economic losses and ethical considerations towards achieving planetary health,The Human Health Burden Of Climate Change: Non-economic Losses And Ethical Considerations Towards Achieving Planetary Health
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278224000166-main.pdf,The impact of climate change on respiratory care: A scoping review,The Impact Of Climate Change On Respiratory Care: A Scoping Review
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278224000075-main.pdf,Climate change-related disasters & the health of LGBTQ+ populations,Climate Change-related Disasters & The Health Of Lgbtq+ Populations
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000949-main.pdf,A scoping review of current climate change and vector-borne disease literacy and implications for public health interventions,A Scoping Review Of Current Climate Change And Vector-borne Disease Literacy And Implications For Public Health Interventions
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278224000324-main.pdf,"Bioethics, climate change, and civilization","Bioethics, Climate Change, And Civilization"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278224000038-main.pdf,"“No matter how hot it is, you just have to do the work ”: Examining farmworkers’ experiences with heat and climate change in Idaho","“no Matter How Hot It Is, You Just Have To Do The Work ”: Examining Farmworkers’ Experiences With Heat And Climate Change In Idaho"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000950-main.pdf,Impacts of climate change on ocular health: A scoping review,Impacts Of Climate Change On Ocular Health: A Scoping Review
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S266727822400035X-main.pdf,Health impacts of climate-change related natural disasters on persons with disabilities in developing countries: A literature review,Health Impacts Of Climate-change Related Natural Disasters On Persons With Disabilities In Developing Countries: A Literature Review
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000767-main.pdf,Climate change and health of the urban poor: The role of environmental justice,Climate Change And Health Of The Urban Poor: The Role Of Environmental Justice
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000524-main.pdf,Developing global recommendations for action on climate change and mental health across sectors: A Delphi-style study,Developing Global Recommendations For Action On Climate Change And Mental Health Across Sectors: A Delphi-style Study
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000706-main.pdf,Community satisfaction and risk perception of local devastation due to climate change,Community Satisfaction And Risk Perception Of Local Devastation Due To Climate Change
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000913-main.pdf,Complex adaptive systems-based framework for modeling the health impacts of climate change,Complex Adaptive Systems-based Framework For Modeling The Health Impacts Of Climate Change
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000718-main.pdf,Human health and climate change −an evolving discourse: A bibliometric citation analysis of top-cited articles within health sciences databases,Human Health And Climate Change −an Evolving Discourse: A Bibliometric Citation Analysis Of Top-cited Articles Within Health Sciences Databases
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000664-main.pdf,‘Are you a researcher or an activist? ’: Navigating tensions in climate change and health research,‘are You A Researcher Or An Activist? ’: Navigating Tensions In Climate Change And Health Research
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000172-main.pdf,Evaluating responses to health-related messages about the financial costs of climate change,Evaluating Responses To Health-related Messages About The Financial Costs Of Climate Change
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000876-main.pdf,Pathways to Climate Health: Active learning and effective communication to optimize climate change action an evaluation of the climate change and renal health awareness and education toolkit for healthcare providers: Reducing climate-health risks in primary care,Pathways To Climate Health: Active Learning And Effective Communication To Optimize Climate Change Action An Evaluation Of The Climate Change And Renal Health Awareness And Education Toolkit For Healthcare Providers: Reducing Climate-health Risks In Primary Care
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000359-main.pdf,"What predicts climate change activism?: An examination of how depressive symptoms, climate change distress, and social norms are associated with climate change activism","What Predicts Climate Change Activism?: An Examination Of How Depressive Symptoms, Climate Change Distress, And Social Norms Are Associated With Climate Change Activism"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000748-main.pdf,"Barriers and opportunities in communicating about the intersection of health, climate change and equity","Barriers And Opportunities In Communicating About The Intersection Of Health, Climate Change And Equity"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278221000778-main.pdf,Psychometric properties of the Italian version of the Climate Change Anxiety Scale,Psychometric Properties Of The Italian Version Of The Climate Change Anxiety Scale
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000354-main.pdf,Participatory modeling for local and regional collaboration on climate change adaptation and health,Participatory Modeling For Local And Regional Collaboration On Climate Change Adaptation And Health
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000050-main.pdf,The 2021 Western North American heat dome increased climate change anxiety among British Columbians: Results from a natural experiment,The 2021 Western North American Heat Dome Increased Climate Change Anxiety Among British Columbians: Results From A Natural Experiment
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278221000183-main.pdf,Teaching medical students about the impacts of climate change on human health,Teaching Medical Students About The Impacts Of Climate Change On Human Health
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278224000063-main.pdf,Gendered effects of climate change and health inequities among forcibly displaced populations: Displaced Rohingya women foster resilience through technology,Gendered Effects Of Climate Change And Health Inequities Among Forcibly Displaced Populations: Displaced Rohingya Women Foster Resilience Through Technology
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000293-main.pdf,Psychometric properties of the Italian version of the climate change worry scale,Psychometric Properties Of The Italian Version Of The Climate Change Worry Scale
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000098-main.pdf,Protecting women’s health in a changing climate: The role of community-based adaptation,Protecting Women’s Health In A Changing Climate: The Role Of Community-based Adaptation
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000141-main.pdf,Discovering emotional patterns for climate change and for the COVID-19 pandemic in university students,Discovering Emotional Patterns For Climate Change And For The Covid-19 Pandemic In University Students
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278221000547-main.pdf,The impacts of climate change on displaced populations: A call for action,The Impacts Of Climate Change On Displaced Populations: A Call For Action
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278221000456-main.pdf,Parents’ perspectives about discussing climate change during well-child visits,Parents’ Perspectives About Discussing Climate Change During Well-child Visits
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278221000961-main.pdf,The association between climate change attitudes and COVID-19 attitudes: The link is more than political ideology,The Association Between Climate Change Attitudes And Covid-19 Attitudes: The Link Is More Than Political Ideology
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278221000237-main.pdf,Perceptions of climate change and climate action among climate-engaged health professionals in Northern Ontario: A qualitative study,Perceptions Of Climate Change And Climate Action Among Climate-engaged Health Professionals In Northern Ontario: A Qualitative Study
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000906-main.pdf,Escalating costs of billion-dollar disasters in the US: Climate change necessitates disaster risk reduction,Escalating Costs Of Billion-dollar Disasters In The Us: Climate Change Necessitates Disaster Risk Reduction
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000736-main.pdf,Training health professionals on climate change communication and advocacy through applied social science,Training Health Professionals On Climate Change Communication And Advocacy Through Applied Social Science
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000901-main.pdf,Role model stories can increase health professionals’ interest and perceived responsibility to engage in climate and sustainability actions,Role Model Stories Can Increase Health Professionals’ Interest And Perceived Responsibility To Engage In Climate And Sustainability Actions
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278224000178-main.pdf,Rematriation and climate justice: Intersections of indigenous health and place,Rematriation And Climate Justice: Intersections Of Indigenous Health And Place
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000081-main.pdf,Climate mitigation and adaptation is cancer prevention and control,Climate Mitigation And Adaptation Is Cancer Prevention And Control
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000669-main.pdf,"Bridging the divide on climate solutions: Development, implementation, and evaluation of an online workshop for climate volunteers","Bridging The Divide On Climate Solutions: Development, Implementation, And Evaluation Of An Online Workshop For Climate Volunteers"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278221000274-main.pdf,"Advocacy messages about climate and health are more effective when they include information about risks, solutions, and a normative appeal: Evidence from a conjoint experiment","Advocacy Messages About Climate And Health Are More Effective When They Include Information About Risks, Solutions, And A Normative Appeal: Evidence From A Conjoint Experiment"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000032-main.pdf,Climate emotions and anxiety among young people in Canada: A national survey and call to action,Climate Emotions And Anxiety Among Young People In Canada: A National Survey And Call To Action
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000633-main.pdf,Organizing to advance equitable climate and health solutions: The medical society consortium on climate and health,Organizing To Advance Equitable Climate And Health Solutions: The Medical Society Consortium On Climate And Health
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000773-main.pdf,Developing a guide to climate & health justice education: Process and content,Developing A Guide To Climate & Health Justice Education: Process And Content
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S266727822100047X-main.pdf,"Climate, health care, and the race to zero: An urgent call to action","Climate, Health Care, And The Race To Zero: An Urgent Call To Action"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S266727822300055X-main.pdf,"Association of air quality during forest fire season with respiratory emergency department visits in Vancouver, British Columbia","Association Of Air Quality During Forest Fire Season With Respiratory Emergency Department Visits In Vancouver, British Columbia"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S266727822300041X-main.pdf,"“We can ’t save the planet, we ’re too busy saving lives ”: Exploring beliefs about decarbonizing the NHS","“we Can ’t Save The Planet, We ’re Too Busy Saving Lives ”: Exploring Beliefs About Decarbonizing The Nhs"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S266727822300069X-main.pdf,"What cannot be mitigated or adapted to, will be suffered. Loss and damage in health and humanitarian terms","What Cannot Be Mitigated Or Adapted To, Will Be Suffered. Loss And Damage In Health And Humanitarian Terms"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000822-main.pdf,Rethinking ecoanxiety through environmental moral distress: an ethics reflection,Rethinking Ecoanxiety Through Environmental Moral Distress: An Ethics Reflection
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278224000233-main.pdf,Examining public perceptions and concerns about the impact of heatwaves on health outcomes using Twitter data,Examining Public Perceptions And Concerns About The Impact Of Heatwaves On Health Outcomes Using Twitter Data
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278222000566-main.pdf,"Virtual interviews: Less carbon, less bias?","Virtual Interviews: Less Carbon, Less Bias?"
PDFs_08_Diego/Journal of Climate Change and Health -elsevier/1-s2.0-S2667278223000755-main.pdf,Do social vulnerability indices correlate with extreme heat health outcomes?,Do Social Vulnerability Indices Correlate With Extreme Heat Health Outcomes?
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927821000782-main.pdf,Understanding systemic risk induced by climate change,Understanding Systemic Risk Induced By Climate Change
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927821001490-main.pdf,"Social bots’ role in climate change discussion on Twitter: Measuring standpoints, topics, and interaction strategies","Social Bots’ Role In Climate Change Discussion On Twitter: Measuring Standpoints, Topics, And Interaction Strategies"
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927821000873-main.pdf,Index for climate change adaptation in China and its application,Index For Climate Change Adaptation In China And Its Application
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927820300964-main.pdf,"Reﬂections on coastal inundation, climate change impact, and adaptation in built environment: progresses and constraints","Reﬂections On Coastal Inundation, Climate Change Impact, And Adaptation In Built Environment: Progresses And Constraints"
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927817300849-main.pdf,The withdrawal of the U.S. from the Paris Agreement and its impact on global climate change governance,The Withdrawal Of The U.s. From The Paris Agreement And Its Impact On Global Climate Change Governance
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927820300903-main.pdf,"The UNFCCC, the EU, and the UNSC: A research agenda proposal for the climate security question","The Unfccc, The Eu, And The Unsc: A Research Agenda Proposal For The Climate Security Question"
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927813500219-main.pdf,A Review on Evaluation Methods of Climate Modeling,A Review On Evaluation Methods Of Climate Modeling
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927822000570-main.pdf,Changes in hydrological regime in High Arctic non-glaciated catchment in 1979e2020 using a multimodel approach,Changes In Hydrological Regime In High Arctic Non-glaciated Catchment In 1979e2020 Using A Multimodel Approach
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927819300188-main.pdf,International carbon markets under the Paris Agreement: Basic form and development prospects,International Carbon Markets Under The Paris Agreement: Basic Form And Development Prospects
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927811500334-main.pdf,Metric of Carbon Equity: Carbon Gini Index Based on Historical Cumulative Emission per Capita,Metric Of Carbon Equity: Carbon Gini Index Based On Historical Cumulative Emission Per Capita
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927821000903-main.pdf,Interannual variability and climatic sensitivity of global wildfire activity,Interannual Variability And Climatic Sensitivity Of Global Wildfire Activity
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927820300289-main.pdf,Occupational heat stress induced health impacts: A cross-sectional study from South Indian working population,Occupational Heat Stress Induced Health Impacts: A Cross-sectional Study From South Indian Working Population
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927821001507-main.pdf,Decadal changes of the intraseasonal oscillation during 1979 e2016,Decadal Changes Of The Intraseasonal Oscillation During 1979 E2016
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927812500043-main.pdf,Debates on the Causes of Global Warming,Debates On The Causes Of Global Warming
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927820300940-main.pdf,Glacier geoengineering to address sea-level rise: A geotechnical approach,Glacier Geoengineering To Address Sea-level Rise: A Geotechnical Approach
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927817301144-main.pdf,Response of North Pacific and North Atlantic decadal variability to weak global warming,Response Of North Pacific And North Atlantic Decadal Variability To Weak Global Warming
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927811500462-main.pdf,Contribution of Forest Management Credits in Kyoto Protocol Compliance and Future Perspectives,Contribution Of Forest Management Credits In Kyoto Protocol Compliance And Future Perspectives
PDFs_08_Diego/Advances_in_Climate_Change_Research_Journal/1-s2.0-S1674927812500122-main.pdf,Trend of Antarctic Ozone Hole and Its Influencing Factors,Trend Of Antarctic Ozone Hole And Its Influencing Factors
PDFs_08_Diego/Environmental Science and Pollution Research/11356_2022_Article_19718.pdf,"A review of the global climate change impacts, adaptation, and sustainable mitigation measures","A Review Of The Global Climate Change Impacts, Adaptation, And Sustainable Mitigation Measures"
PDFs_08_Diego/PubMed/nihms-1795796.pdf,Extreme Weather and Climate Change: Population Health and Health System Implications,Extreme Weather And Climate Change: Population Health And Health System Implications
PDFs_08_Diego/PubMed/ijerph-18-04486.pdf,Climate Change and Mental Health: A Scoping Review,Climate Change And Mental Health: A Scoping Review
PDFs_08_Diego/PubMed/PIIS1360138521000583.pdf,"Global Warming, Climate Change, and Environmental Pollution: Recipe for a Multifactorial Stress Combination Disaster","Global Warming, Climate Change, And Environmental Pollution: Recipe For A Multifactorial Stress Combination Disaster"
PDFs_08_Diego/PubMed/Dtsch_Arztebl_Int-120_117.pdf,The effects of climate change on mental health,The Effects Of Climate Change On Mental Health
PDFs_08_Diego/PubMed/Climate change and mental.pdf,Climate change and mental health: a review of current literature,Climate Change And Mental Health: A Review Of Current Literature
PDFs_08_Diego/PubMed/1503-1-3100-1-10-20180629.pdf,"Climate Change, Human Rights, and Social Justice","Climate Change, Human Rights, And Social Justice"
PDFs_08_Diego/PubMed/1-s2.0-S0362028X22057118-main.pdf,Climate Change and Emerging Food Safety Issues: A Review,Climate Change And Emerging Food Safety Issues: A Review
PDFs_08_Diego/PubMed/annurev-publhealth-031816-044356.pdf,Climate Change and Global Food Systems: Potential Impacts on Food Security and Undernutrition,Climate Change And Global Food Systems: Potential Impacts On Food Security And Undernutrition
PDFs_08_Diego/PubMed/annurev-psych-032720-042905.pdf,Psychology of Climate Change,Psychology Of Climate Change
PDFs_08_Diego/PubMed/12992_2021_Article_722.pdf,Climate change-induced migration: a bibliometric review,Climate Change-induced Migration: A Bibliometric Review
PDFs_08_Diego/PubMed/annurev-publhealth-090419-102409.pdf,Climate Change Disinformation and How to Combat It,Climate Change Disinformation And How To Combat It
PDFs_08_Diego/PubMed/rstb.2022.0390.pdf,Climate change adaptation needs a science of culture,Climate Change Adaptation Needs A Science Of Culture
PDFs_08_Diego/PubMed/annurev-publhealth-012420-105044.pdf,"Climate Change, Food Supply, and Dietary Guidelines","Climate Change, Food Supply, And Dietary Guidelines"
PDFs_08_Diego/PubMed/ijerph-18-10896.pdf,Climate Change and Child Health Inequality: A Review of Reviews,Climate Change And Child Health Inequality: A Review Of Reviews
PDFs_08_Diego/PubMed/PHN-38-321.pdf,The intersection of climate change with the era of COVID-19,The Intersection Of Climate Change With The Era Of Covid-19
PDFs_08_Diego/PubMed/rstb.2022.0406.pdf,Climate change adaptation and the back of the invisible hand,Climate Change Adaptation And The Back Of The Invisible Hand
PDFs_08_Diego/PubMed/nihms-984726.pdf,Climate Change and Collective Violence,Climate Change And Collective Violence
PDFs_08_Diego/PubMed/1-s2.0-S2352250X21000415-main.pdf,Motivation and climate change: A review,Motivation And Climate Change: A Review
PDFs_08_Diego/PubMed/main.pdf,"Envisioning environmental equity: climate change, health, and racial justice","Envisioning Environmental Equity: Climate Change, Health, And Racial Justice"
PDFs_08_Diego/PubMed/jci-130-135004.pdf,Climate change and malnutrition: we need to act now,Climate Change And Malnutrition: We Need To Act Now
PDFs_08_Diego/PubMed/40572_2018_Article_187.pdf,Climate Change: From Science to Practice,Climate Change: From Science To Practice
PDFs_08_Diego/PubMed/1-s2.0-S2352250X21000154-main.pdf,Minority influence in climate change mitigation,Minority Influence In Climate Change Mitigation
PDFs_08_Diego/PubMed/ijerph-16-02531.pdf,"The Climate Change, Food Security and Human Health Nexus in Canada: A Framework to Protect Population Health","The Climate Change, Food Security And Human Health Nexus In Canada: A Framework To Protect Population Health"
PDFs_08_Diego/PubMed/pnas.201302536.pdf,Climate change as an intergenerational problem,Climate Change As An Intergenerational Problem
PDFs_08_Diego/PubMed/1-s2.0-S0048969721054693-main.pdf,The fundamental links between climate change and marine plastic pollution,The Fundamental Links Between Climate Change And Marine Plastic Pollution
PDFs_08_Diego/PubMed/PIIS2542519621001352.pdf,Integrating solutions to adapt cities for climate change,Integrating Solutions To Adapt Cities For Climate Change
PDFs_08_Diego/PubMed/1-s2.0-S0048969721051408-main.pdf,Understanding human vulnerability to climate change: A global perspective on index validation for adaptation planning,Understanding Human Vulnerability To Climate Change: A Global Perspective On Index Validation For Adaptation Planning
PDFs_08_Diego/PubMed/gcb0020-3313.pdf,Climate variability and vulnerability to climate change: a review,Climate Variability And Vulnerability To Climate Change: A Review
PDFs_08_Diego/PubMed/jogh-14-04101.pdf,Climate change and healthy ageing: An assessment of the impact of climate hazards on older people,Climate Change And Healthy Ageing: An Assessment Of The Impact Of Climate Hazards On Older People
PDFs_08_Diego/PubMed/13280_2021_Article_1678.pdf,Building community resilience in a context of climate change: The role of social capital,Building Community Resilience In A Context Of Climate Change: The Role Of Social Capital
PDFs_08_Diego/PubMed/ijerph-15-02626.pdf,Assessing Health Vulnerabilities and Adaptation to Climate Change: A Review of International Progress,Assessing Health Vulnerabilities And Adaptation To Climate Change: A Review Of International Progress
PDFs_08_Diego/PubMed/emss-54918.pdf,Impacts of climate change on the future of biodiversity,Impacts Of Climate Change On The Future Of Biodiversity
PDFs_08_Diego/PubMed/annurev-publhealth-071421-051636.pdf,Public Health Implications of Drought in a Climate Change Context: A Critical Review,Public Health Implications Of Drought In A Climate Change Context: A Critical Review
PDFs_08_Diego/PubMed/EAP-31-0.pdf,Adapting western North American forests to climate change and wildfires: 10 common questions,Adapting Western North American Forests To Climate Change And Wildfires: 10 Common Questions
PDFs_08_Diego/PubMed/ijerph-18-00040.pdf,A Review of Studies Involving the Effects of Climate Change on the Energy Consumption for Building Heating and Cooling,A Review Of Studies Involving The Effects Of Climate Change On The Energy Consumption For Building Heating And Cooling
PDFs_08_Diego/PubMed/ehp.1104093.pdf,How Well Does Climate Change and Human Health Research Match the Demands of Policymakers? A Scoping Review,How Well Does Climate Change And Human Health Research Match The Demands Of Policymakers? A Scoping Review
PDFs_08_Diego/PubMed/ijerph-18-02547.pdf,Tools and Methods to Include Health in Climate Change Adaptation and Mitigation Strategies and Policies: A Scoping Review,Tools And Methods To Include Health In Climate Change Adaptation And Mitigation Strategies And Policies: A Scoping Review
PDFs_08_Diego/PubMed/bmjgh-2023-014596.pdf,"Opportunities and challenges for financing women’s, children’s and adolescents’ health in the context of climate change","Opportunities And Challenges For Financing Women’s, Children’s And Adolescents’ Health In The Context Of Climate Change"
PDFs_08_Diego/PubMed/51_2012-0089.pdf,2012-0089,2012-0089
PDFs_08_Diego/PubMed/1-s2.0-S0277953623003659-main.pdf,Measuring negative emotional responses to climate change among young people in survey research: A systematic review,Measuring Negative Emotional Responses To Climate Change Among Young People In Survey Research: A Systematic Review
PDFs_08_Diego/PubMed/warren-2011-the-role-of-interactions-in-a-world-implementing-adaptation-and-mitigation-solutions-to-climate-change.pdf,The role of interactions in a world implementing adaptation and mitigation solutions to climate change,The Role Of Interactions In A World Implementing Adaptation And Mitigation Solutions To Climate Change
PDFs_08_Diego/PubMed/11524_2020_Article_483.pdf,Global Climate Implications for Homelessness: A Scoping Review,Global Climate Implications For Homelessness: A Scoping Review
PDFs_08_Diego/PubMed/EMS190992.pdf,A toolkit for understanding and addressing climate scepticism,A Toolkit For Understanding And Addressing Climate Scepticism
PDFs_08_Diego/PubMed/10.1177_09636625231223425.pdf,Counteracting climate denial: A systematic review,Counteracting Climate Denial: A Systematic Review
PDFs_07_04_Luis/Naturally Resilient - The Ministry of Natural Resources and Forestry's (MNRF) Natural Resources Climate Adaptation Strategy (2017-2021).pdf,MNRF’S NATURAL RESOURCE CLIMATE ADAPTATION STRATEGY (2017–2021),Mnrf’s Natural Resource Climate Adaptation Strategy (2017–2021)
PDFs_07_04_Luis/Under Water- The costs of climate change for Canada's infrastructure.pdf,UNDER WATER: The Costs of Climate Change for Canada’s Infrastructure,Under Water: The Costs Of Climate Change For Canada’s Infrastructure
PDFs_07_04_Luis/Introducing-Indicators_FINAL_sml.pdf,Introducing Indicators,Introducing Indicators
"PDFs_07_04_Luis/Resilient Cities Index - A global benchmark of urban risk, response and recovery.pdf",Resilient Cities Index,Resilient Cities Index
PDFs_07_04_Luis/Managing Your Waterfront Property in a Changing Climate.pdf,Managing Your Waterfront Property in a Changing Climate,Managing Your Waterfront Property In A Changing Climate
PDFs_07_04_Luis/Increasing Deadstock Capacity Initiative Guidelines .pdf,"Increasing Deadstock Capacity 
Initiative Guidelines",Increasing Deadstock Capacity Initiative Guidelines
PDFs_07_04_Luis/Pathways to Decarbonization.pdf,Pathways to Decarbonization,Pathways To Decarbonization
PDFs_07_04_Luis/The Industrial Economics Technical Report.pdf,Costing Climate Change Impacts on Canada’s Infrastructure: Results for “Deep Dive” Statistical and Process-based Models,Costing Climate Change Impacts On Canada’s Infrastructure: Results For “deep Dive” Statistical And Process-based Models
PDFs_07_04_Luis/Natural Asset Management Challenge Dialogue.pdf,MAKING NATURE COUNT,Making Nature Count
PDFs_07_04_Luis/The Climate Atlas and Health – Using Climate Maps to understand the Future of Health.pdf,The Climate Atlas and Health,The Climate Atlas And Health
PDFs_07_04_Luis/Tip of the Iceberg – Navigating the Known and Unknown Costs of Climate Change for Canada.pdf,TIP OF THE ICEBERG: Navigating the known and unknown costs of climate change for Canada,Tip Of The Iceberg: Navigating The Known And Unknown Costs Of Climate Change For Canada
